product_code,client_code,order_date,quantity
P1075,C008,2024-01-04,3
P1083,C018,2024-01-08,3
P1052,C015,2024-01-28,4
P1095,C011,2024-01-30,2
P1090,C021,2024-01-31,8
P1031,C008,2024-02-02,11
P1040,C025,2024-02-07,1
P1005,C020,2024-02-11,14
P1052,C007,2024-02-18,4
P1056,C018,2024-02-20,2
P1097,C018,2024-03-05,5
P1027,C018,2024-03-08,19
P1096,C008,2024-03-26,14
P1031,C007,2024-04-07,18
P1040,C009,2024-04-14,11
P1009,C018,2024-04-19,17
P1062,C016,2024-04-19,13
P1073,C016,2024-05-04,16
P1035,C015,2024-05-07,3
P1065,C008,2024-05-22,16
P1031,C012,2024-05-25,6
P1019,C007,2024-05-31,7
P1085,C021,2024-06-02,15
P1085,C018,2024-06-02,4
P1008,C002,2024-06-18,3
P1007,C013,2024-06-22,4
P1033,C005,2024-06-27,3
P1084,C014,2024-06-30,14
P1007,C006,2024-07-13,1
P1030,C009,2024-07-21,5
P1091,C010,2024-07-23,12
P1086,C008,2024-07-25,4
P1057,C005,2024-08-04,6
P1056,C017,2024-08-19,4
P1049,C009,2024-08-20,10
P1010,C024,2024-09-05,3
P1074,C016,2024-09-14,17
P1020,C002,2024-09-17,3
P1078,C021,2024-09-27,1
P1007,C019,2024-10-04,2
P1084,C016,2024-10-08,6
P1002,C019,2024-10-10,8
P1054,C023,2024-10-11,16
P1058,C020,2024-10-15,4
P1084,C019,2024-10-16,17
P1072,C008,2024-10-23,20
P1023,C003,2024-10-31,3
P1033,C017,2024-11-06,14
P1027,C018,2024-12-19,7
P1056,C018,2024-12-26,10
